id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2020-03-24T01:11:16;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-03-23T13:03:58;75071
2;Rhode Island bypassing SQL;2020-03-23T15:59:20;Frozen online streamline;ISSUED;CREDIT_CARD;2020-03-24T07:46:26;68011
3;lime program;2020-03-23T11:14:23;parse Horizontal Shirt;ISSUED;PAYPAL;2020-03-23T12:04:56;82892
4;Buckinghamshire Director Gloves;2020-03-23T15:45:06;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-03-23T08:20:07;33894
5;attitude-oriented;2020-03-23T18:13:14;Integration structure;CANCELLED;PAYPAL;2020-03-23T20:20:44;72584
6;Internal Licensed Steel Towels RSS;2020-03-24T00:49:24;Chips;PAID;CREDIT_CARD;2020-03-24T01:45:04;90614
7;Toys Cotton;2020-03-23T17:18:45;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-03-23T15:02:09;42722
8;Arizona Barbados Dollar;2020-03-24T01:48:27;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-03-23T22:51:55;44406
9;Generic Ethiopian Birr Assurance;2020-03-23T14:17:18;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-03-23T22:12:48;93110
10;Concrete;2020-03-24T07:01:04;paradigms system;PAID;CREDIT_CARD;2020-03-23T09:27:16;93817
