id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-03-23T09:23:00;payment unleash Jamaican Dollar;1
2;Rest;2020-03-24T04:39:30;Plains;2
3;Quality Plastic plum;2020-03-23T08:59:52;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-03-24T05:27:04;Architect SSL;4
5;zero tolerance;2020-03-24T02:23:23;user-facing CSS;5
6;ADP Ouguiya;2020-03-23T22:19:51;Garden;6
7;auxiliary;2020-03-24T06:35:51;functionalities Bedfordshire withdrawal;7
8;Data;2020-03-23T09:33:52;Viaduct hybrid;8
9;mesh;2020-03-24T07:59:31;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-03-24T05:58:25;Re-engineered withdrawal Ball;10
