id;placed_date;status;code;invoice_id;customer_id
1;2020-03-23T23:56:50;COMPLETED;Georgia calculate withdrawal;88795;1
2;2020-03-23T23:33:35;CANCELLED;background Incredible Soft Bacon withdrawal;68518;2
3;2020-03-23T08:50:43;COMPLETED;real-time;88753;3
4;2020-03-23T16:54:52;COMPLETED;Square Regional;82542;4
5;2020-03-23T22:46:00;PENDING;maroon Decentralized Bike;98183;5
6;2020-03-23T15:09:42;COMPLETED;program;52549;6
7;2020-03-24T05:25:37;COMPLETED;target;30578;7
8;2020-03-24T03:33:43;CANCELLED;input;43284;8
9;2020-03-24T03:59:45;CANCELLED;multi-byte Croatian Kuna RAM;99134;9
10;2020-03-24T05:04:50;COMPLETED;National lavender;4674;10
